,ETF,Metric,Final_Value,Passive_Potential,Relative_MSE,MAPE,DM_stat,DM_p,Date,Model
39,XLU,IQR,108.32015752396693,123.68421052631578,0.0025258518154376,0.3260498960373839,19.721445725001388,1.4113609385360286e-86,date_config1,LSTM
0,SPY,ATR,103.31954724825394,116.509536087547,0.0004935538835321,0.0785113238396455,,,date_config1,RNN
1,SPY,SD_Returns,108.64910882596936,116.509536087547,0.0010239323035543,0.1475490288924528,15.175721059182756,5.121184900871644e-52,date_config1,RNN
2,SPY,SD_Prices,105.93381054556122,116.509536087547,0.001074654618814,0.1875259050373104,-6.06068700476405,1.3554136207054446e-09,date_config1,RNN
3,SPY,IQR,108.57725752202438,116.509536087547,0.0052188271048136,0.5143648114187204,15.11030333188084,1.3850071558957226e-51,date_config1,RNN
4,XLB,ATR,103.74653476906158,95.150406039117,0.0004726863971649,0.0538618722710658,,,date_config1,RNN
5,XLB,SD_Returns,100.0,95.150406039117,0.0014236085935474,0.1276485098252372,17.515821967409956,1.0850732772298539e-68,date_config1,RNN
6,XLB,SD_Prices,98.86959370904324,95.150406039117,0.0009074264060059,0.1770499056309191,-9.658851493608717,4.508903939521052e-22,date_config1,RNN
7,XLB,IQR,100.0,95.150406039117,0.001856471685306,0.3025399114696237,17.154144152469208,5.852589976601746e-66,date_config1,RNN
8,XLE,ATR,102.69613212951316,101.8277066356228,0.0007679499746994,0.0632385523265063,,,date_config1,RNN
9,XLE,SD_Returns,99.1957255343082,101.8277066356228,0.0026330391355686,0.2785448280148397,20.270720808159755,2.3321591469437532e-91,date_config1,RNN
10,XLE,SD_Prices,104.2795680728045,101.8277066356228,0.0009864869771445,0.1962973651697889,-7.857379754558483,3.92252257408256e-15,date_config1,RNN
11,XLE,IQR,100.0,101.8277066356228,0.0028179025648186,0.4235003293583447,19.919765418398317,2.742727044760594e-88,date_config1,RNN
12,XLF,ATR,108.9433826158464,120.09391992090954,0.0004162073623993,0.0662570086748778,,,date_config1,RNN
13,XLF,SD_Returns,111.34295733542514,120.09391992090954,0.0021074125177749,0.2347575117459908,15.344152005492758,3.875910631694364e-53,date_config1,RNN
14,XLF,SD_Prices,114.12102614556098,120.09391992090954,0.001100030581633,0.1889758666535271,-7.798392527495904,6.270071902623024e-15,date_config1,RNN
15,XLF,IQR,109.08142286236084,120.09391992090954,0.0013417644594028,0.2935452384867079,14.8869038338691,4.009097289139587e-50,date_config1,RNN
16,XLI,ATR,104.33194859231044,109.68595041322314,0.0024127423187425,0.1590331268621587,,,date_config1,RNN
17,XLI,SD_Returns,113.01824670216816,109.68595041322314,0.0069525690100831,0.4883045603240172,23.13211651812265,2.200666267646021e-118,date_config1,RNN
18,XLI,SD_Prices,103.01977662831972,109.68595041322314,0.0037065192634642,0.3865327517151684,-10.035584741323394,1.0632752079318085e-23,date_config1,RNN
19,XLI,IQR,114.3554539866838,109.68595041322314,0.0054321107756273,0.4994794768313024,23.108318295858485,3.819065448448637e-118,date_config1,RNN
20,XLK,ATR,115.61788808317326,114.5585305408426,0.0010122311296509,0.1009870805540024,,,date_config1,RNN
21,XLK,SD_Returns,105.6525857240085,114.5585305408426,0.0008862246885856,0.1359325728982378,14.031713075225158,9.971348774553953e-45,date_config1,RNN
22,XLK,SD_Prices,107.4332936300973,114.5585305408426,0.0013990159609774,0.1879485884526526,-3.985538372526648,6.732729514184465e-05,date_config1,RNN
23,XLK,IQR,103.08796565448772,114.5585305408426,0.0025782400500471,0.333021712650502,13.98456829425795,1.93648323047246e-44,date_config1,RNN
24,XLP,ATR,102.68729852490586,104.7192513368984,0.0005734772323508,0.0555442672130664,,,date_config1,RNN
25,XLP,SD_Returns,100.5361064461956,104.7192513368984,0.0014001759086296,0.1322938944095106,19.088962389371527,3.119031697378009e-81,date_config1,RNN
26,XLP,SD_Prices,102.52062919030428,104.7192513368984,0.0011160534362662,0.2008041122897057,-8.652395416813166,5.042956397021416e-18,date_config1,RNN
27,XLP,IQR,102.92949059481008,104.7192513368984,0.0018281428671273,0.2332324612661728,18.63392814296963,1.7053634110968212e-77,date_config1,RNN
28,XLV,ATR,99.30459928394382,95.17808219178082,0.0005680354363168,0.0603248242875812,,,date_config1,RNN
29,XLV,SD_Returns,98.32164499216996,95.17808219178082,0.0014495255660854,0.2544494293565431,17.10459996133465,1.3714012840315084e-65,date_config1,RNN
30,XLV,SD_Prices,100.0,95.17808219178082,0.000793250462343,0.1677602184085558,-6.967424651740009,3.227952294137901e-12,date_config1,RNN
31,XLV,IQR,100.0,95.17808219178082,0.0023506767909064,0.4046888108616289,16.900884136652824,4.432109143122151e-64,date_config1,RNN
32,XLY,ATR,113.54064568029082,122.88107931672288,0.0003903367928844,0.0634097037239507,,,date_config1,RNN
33,XLY,SD_Returns,115.4009712801642,122.88107931672288,0.0009205535568582,0.1505368303177176,14.428576259161222,3.420695167311011e-47,date_config1,RNN
34,XLY,SD_Prices,115.87651856649931,122.88107931672288,0.000764402319632,0.1829486032566519,-8.299700954159706,1.0437378260226012e-16,date_config1,RNN
35,XLY,IQR,116.90790081961076,122.88107931672288,0.0021246566918472,0.2730175337659964,14.319214463888873,1.659888069909422e-46,date_config1,RNN
36,XLU,ATR,106.76314661921312,123.68421052631578,0.0005768141454748,0.053726254660185,,,date_config1,RNN
37,XLU,SD_Returns,113.15714011720404,123.68421052631578,0.0014926932026183,0.1717868597570469,21.168308263042174,1.8715575183975274e-99,date_config1,RNN
38,XLU,SD_Prices,105.08875955619207,123.68421052631578,0.0011491428265533,0.1805134210945423,-8.166131545877125,3.1843603100181793e-16,date_config1,RNN
39,XLU,IQR,110.9457839117806,123.68421052631578,0.0017880049103082,0.2229826281760602,20.54564960569525,8.417763735658019e-94,date_config1,RNN
0,SPY,ATR,108.1118526755548,116.509536087547,0.0037459935404198,0.2534107757516551,,,date_config3,LSTM
1,SPY,SD_Returns,107.03198890069515,116.509536087547,0.0028551046031273,0.2182528307719066,21.83764417068345,1.0187441068593776e-105,date_config3,LSTM
2,SPY,SD_Prices,102.04448721167353,116.509536087547,0.0023129056435919,0.2165688799480837,5.297870517871439,1.1716099680383213e-07,date_config3,LSTM
3,SPY,IQR,112.90053863361108,116.509536087547,0.0037011715363551,0.6100144209114718,21.781013651655496,3.512155782540299e-105,date_config3,LSTM
4,XLB,ATR,100.89484018806404,95.150406039117,0.0031586334838265,0.1594462723407622,,,date_config3,LSTM
5,XLB,SD_Returns,98.6096742816942,95.150406039117,0.003637376686144,0.2792627995580511,29.32606767674096,4.82606929290264e-189,date_config3,LSTM
6,XLB,SD_Prices,100.0,95.150406039117,0.0018044127071949,0.2874208912532177,-0.7786297772816206,0.4361978329457375,date_config3,LSTM
7,XLB,IQR,97.43082999910408,95.150406039117,0.0031621279748538,0.3227280771666626,29.567641222160955,3.896277572125215e-192,date_config3,LSTM
8,XLE,ATR,108.18029834864996,101.8277066356228,0.000547350030596,0.0473534218126344,,,date_config3,LSTM
9,XLE,SD_Returns,100.67513356242216,101.8277066356228,0.001359612167275,0.149729161955669,16.790932568444,2.8434162590274e-63,date_config3,LSTM
10,XLE,SD_Prices,108.69401611813176,101.8277066356228,0.0009950330638963,0.1912622717763989,-11.309029031891251,1.1839240320546749e-29,date_config3,LSTM
11,XLE,IQR,100.0,101.8277066356228,0.0021478345628268,0.3056891102068109,16.442990763550277,9.415548179888352e-61,date_config3,LSTM
12,XLF,ATR,110.19532366166368,120.09391992090954,0.0023072670504352,0.1540177611999711,,,date_config3,LSTM
13,XLF,SD_Returns,116.2601784520053,120.09391992090954,0.0033371589424794,0.2886566063644466,19.202702889308732,3.5132528124328983e-82,date_config3,LSTM
14,XLF,SD_Prices,112.50418978689936,120.09391992090954,0.0020231104616678,0.2062810457598392,-1.9602610708232555,0.0499652836516621,date_config3,LSTM
15,XLF,IQR,107.0972571516929,120.09391992090954,0.001449473432474,0.3277239478412144,18.71455533505837,3.7675257845265707e-78,date_config3,LSTM
16,XLI,ATR,104.6953547294366,109.68595041322314,0.0022541997863757,0.1498426190846677,,,date_config3,LSTM
17,XLI,SD_Returns,113.76268524184022,109.68595041322314,0.0018949927683083,0.2776609895248462,22.31781939062046,2.4809822610747185e-110,date_config3,LSTM
18,XLI,SD_Prices,102.65201103995724,109.68595041322314,0.0017196601612352,0.2175168856019916,-0.2941614360032667,0.768634547220221,date_config3,LSTM
19,XLI,IQR,107.49252529384584,109.68595041322314,0.0046786749977874,0.3829541291374457,22.344271771240745,1.3726804825158765e-110,date_config3,LSTM
20,XLK,ATR,112.10954950195686,114.5585305408426,0.0104059173852459,0.4013174352901064,,,date_config3,LSTM
21,XLK,SD_Returns,101.5583377358344,114.5585305408426,0.004005778630756,0.2614259933484433,22.245967169891344,1.2340294720078406e-109,date_config3,LSTM
22,XLK,SD_Prices,107.35047111838573,114.5585305408426,0.0074414741493234,0.4544875083240057,1.0980961135518197,0.2721625222463538,date_config3,LSTM
23,XLK,IQR,108.58480902179716,114.5585305408426,0.0049083137969738,0.9027857089160602,22.15979240494799,8.393674728069092e-109,date_config3,LSTM
24,XLP,ATR,103.46893344507627,104.7192513368984,0.0034585560548995,0.1402929346376818,,,date_config3,LSTM
25,XLP,SD_Returns,100.5361064461956,104.7192513368984,0.0020926733933139,0.1603732332503748,28.06531224121283,2.5980318745102075e-173,date_config3,LSTM
26,XLP,SD_Prices,100.0,104.7192513368984,0.001677114439439,0.196525563051167,2.510871607283677,0.0120433490591577,date_config3,LSTM
27,XLP,IQR,101.35133812381514,104.7192513368984,0.0033699476036324,0.2874636963797831,27.931049468459808,1.120170221033221e-171,date_config3,LSTM
28,XLV,ATR,99.30459928394382,95.17808219178082,0.0011339034594237,0.0808518473529135,,,date_config3,LSTM
29,XLV,SD_Returns,99.42257702189542,95.17808219178082,0.0020662011658578,0.2110690330503926,17.280433084424654,6.605020432985942e-67,date_config3,LSTM
30,XLV,SD_Prices,100.0,95.17808219178082,0.001133476597573,0.191067252585093,-4.786109748546602,1.7004509632527171e-06,date_config3,LSTM
31,XLV,IQR,100.46031852698071,95.17808219178082,0.0022267654472784,0.3304564136954708,17.184145843081996,3.4905005783217683e-66,date_config3,LSTM
32,XLY,ATR,117.60386978946164,122.88107931672288,0.0018928412041197,0.1214873873230842,,,date_config3,LSTM
33,XLY,SD_Returns,114.49115690838092,122.88107931672288,0.001444692488146,0.2361119529164248,13.518750999587937,1.2121633168219054e-41,date_config3,LSTM
34,XLY,SD_Prices,116.46450131568122,122.88107931672288,0.0020975833723907,0.2265373703022696,-4.2636435851546,2.011201592584749e-05,date_config3,LSTM
35,XLY,IQR,111.23038613006706,122.88107931672288,0.0021968799315414,0.3901855414171522,13.47390584553181,2.2276312577298735e-41,date_config3,LSTM
36,XLU,ATR,106.96042881917074,123.68421052631578,0.002899366013262,0.1131424478296722,,,date_config3,LSTM
37,XLU,SD_Returns,112.24470118747855,123.68421052631578,0.0025208494878894,0.1866712295263188,23.39477515521331,4.830360373824259e-121,date_config3,LSTM
38,XLU,SD_Prices,102.33050282397951,123.68421052631578,0.0018980662265001,0.1893214548416532,-2.761427380191121,0.0057549313341433,date_config3,LSTM
39,XLU,IQR,110.17740530977338,123.68421052631578,0.0030123440589786,0.2455231342834784,23.28180679183552,6.777764908182572e-120,date_config3,LSTM
0,SPY,ATR,106.34206641206968,116.509536087547,0.0060104360563728,0.3773261724401445,,,date_config3,RNN
1,SPY,SD_Returns,100.0,116.509536087547,0.0475146737873714,1.5541827070134324,35.343657407995664,1.254781760192772e-273,date_config3,RNN
2,SPY,SD_Prices,103.74064167160635,116.509536087547,0.0021325947897721,0.2322091454901614,14.111656862396565,3.2192449980436644e-45,date_config3,RNN
3,SPY,IQR,100.0,116.509536087547,0.0208957067716477,1.2307117245339183,35.37280137354805,4.4738297076726415e-274,date_config3,RNN
4,XLB,ATR,103.12304121962426,95.150406039117,0.0014185003643394,0.092830303484341,,,date_config3,RNN
5,XLB,SD_Returns,100.0,95.150406039117,0.0137730639231875,0.4931076834904871,19.46919633973925,2.003907170510362e-84,date_config3,RNN
6,XLB,SD_Prices,98.86959370904324,95.150406039117,0.0018188026115603,0.2161649881026225,-7.731540331386431,1.0625300241418091e-14,date_config3,RNN
7,XLB,IQR,99.30104031209362,95.150406039117,0.0034683632287042,0.3307704916156427,19.66531509651522,4.275033679799456e-86,date_config3,RNN
8,XLE,ATR,98.41155634270532,101.8277066356228,0.0005178000272286,0.0486610035557044,,,date_config3,RNN
9,XLE,SD_Returns,105.3692067658129,101.8277066356228,0.0016819331622703,0.1908807733846635,18.15631243895544,1.1445947175219018e-73,date_config3,RNN
10,XLE,SD_Prices,104.36965816289458,101.8277066356228,0.0008465120133311,0.189414041409012,-9.032900517625537,1.6718063775055522e-19,date_config3,RNN
11,XLE,IQR,100.0,101.8277066356228,0.0020478361608576,0.2953216542116149,17.793978988006312,7.868852539073598e-71,date_config3,RNN
12,XLF,ATR,111.9343812657614,120.09391992090954,0.0013907127574517,0.1213402986702791,,,date_config3,RNN
13,XLF,SD_Returns,114.07817560000888,120.09391992090954,0.004919795561748,0.4563332647114958,18.521963660557624,1.3733535120813679e-76,date_config3,RNN
14,XLF,SD_Prices,112.73874134645824,120.09391992090954,0.0012284583225767,0.1876076814080802,-2.210710511878511,0.0270558901328093,date_config3,RNN
15,XLF,IQR,108.99369156550196,120.09391992090954,0.0015891693070361,0.229334316056703,18.32452805352391,5.273686919392314e-75,date_config3,RNN
16,XLI,ATR,106.89499767727956,109.68595041322314,0.0016062470820561,0.1263467599859776,,,date_config3,RNN
17,XLI,SD_Returns,112.10477003203744,109.68595041322314,0.0085092372280242,0.5155477532967436,21.40806138345126,1.1239162221017412e-101,date_config3,RNN
18,XLI,SD_Prices,103.90841787724187,109.68595041322314,0.0013126972787429,0.2092254938748705,-1.372110392440322,0.1700290747385908,date_config3,RNN
19,XLI,IQR,106.25371798129729,109.68595041322314,0.0040645050851317,0.3676833101927541,21.457836477469037,3.858447484631297e-102,date_config3,RNN
20,XLK,ATR,112.58805769080448,114.5585305408426,0.0098868546205847,0.4101554026575625,,,date_config3,RNN
21,XLK,SD_Returns,107.2926223630128,114.5585305408426,0.0027131269974117,0.2132574388331686,24.513730097995477,1.0545020355541983e-132,date_config3,RNN
22,XLK,SD_Prices,104.3423323497276,114.5585305408426,0.0048746848585358,0.3060077527524549,8.016829090079115,1.085099401211804e-15,date_config3,RNN
23,XLK,IQR,102.93645484949832,114.5585305408426,0.0032330140183846,0.3377706775470079,24.50686545531333,1.248074838131664e-132,date_config3,RNN
24,XLP,ATR,101.55402406913034,104.7192513368984,0.0010282033065647,0.0697750633167319,,,date_config3,RNN
25,XLP,SD_Returns,100.0055346711546,104.7192513368984,0.0023082708457113,0.16628217218121,19.358317540891218,1.7345868732260674e-83,date_config3,RNN
26,XLP,SD_Prices,101.48898064056164,104.7192513368984,0.0009267676940007,0.1593260833722802,-3.603403000876585,0.0003140779886982,date_config3,RNN
27,XLP,IQR,103.63707469691045,104.7192513368984,0.0019035487007739,0.241915074717759,19.144124397120468,1.0834449140730176e-81,date_config3,RNN
28,XLV,ATR,99.30459928394382,95.17808219178082,0.0017704277679158,0.1180562461615316,,,date_config3,RNN
29,XLV,SD_Returns,99.02877099103893,95.17808219178082,0.001148509060814,0.1561098824090864,25.132469954368503,2.197402489395106e-139,date_config3,RNN
30,XLV,SD_Prices,100.18042192728744,95.17808219178082,0.0009065219176398,0.2153626992354305,-0.3034868809012468,0.761518843855769,date_config3,RNN
31,XLV,IQR,100.0,95.17808219178082,0.0025055065445423,0.3048532054415642,24.974577956322367,1.1550446837287439e-137,date_config3,RNN
32,XLY,ATR,117.36090190748052,122.88107931672288,0.0024967056854029,0.159330042448218,,,date_config3,RNN
