,Date,Open,High,Low,Close,Volume,Adj Close,ATR,SD_Log_Close,ATR_normalized,SD_normalized,Delta_Days
3117,2012-06-04,128.39,128.74,127.14,128.1,202545800,101.07,2.0728571428571434,0.01212220476288217,-0.34785287104859425,0.27666657467769135,4527
3118,2012-06-05,127.85,129.26,127.78,129.07,164149400,101.83,2.0814285714285683,0.012789063672534615,-0.3444675594555339,0.36608651793459657,4528
3119,2012-06-06,129.97,132.03,129.93,131.97,184202800,104.12,2.3514285714285705,0.01614699162313686,-0.23783024427408744,0.8163552666270633,4529
3120,2012-06-07,133.47,133.53,131.78,132.05,184772700,104.18,2.2071428571428533,0.015263708071776004,-0.29481632275729497,0.6979146731233936,4530
3121,2012-06-08,131.71,133.13,131.29,133.1,143915400,105.01,2.154285714285714,0.014458997591023502,-0.31569241091450784,0.5900100406957809,4531
3122,2012-06-11,134.17,134.25,131.28,131.41,169756100,103.68,2.277142857142859,0.015424051442809443,-0.267169611413955,0.7194153158109206,4534
3123,2012-06-12,131.79,133.01,131.16,132.92,181931800,104.87,2.0642857142857145,0.010937527608448296,-0.3512381826416561,0.11781173687933333,4535
3124,2012-06-13,132.53,133.36,131.62,132.07,172223900,104.2,2.084285714285715,0.011659239607433319,-0.34333912225784513,0.21458699932683242,4536
3125,2012-06-14,132.34,134.0,131.98,133.47,230615500,105.3,2.161428571428575,0.0118494300125912,-0.3128713179202881,0.24008986806122362,4537
3126,2012-06-15,133.38,134.26,133.1,134.14,169444500,106.38,1.9042857142857161,0.009095250856771426,-0.41443066571214177,-0.12922145142180094,4538
3127,2012-06-18,133.58,134.73,133.28,134.4,131360900,106.59,1.8614285714285717,0.009067080628167565,-0.4313572236774512,-0.13299883252420552,4541
3128,2012-06-19,135.08,136.25,134.37,135.7,137382600,107.62,1.867142857142856,0.009257359950067033,-0.4291003492820772,-0.10748404083299051,4542
3129,2012-06-20,135.71,136.1,134.27,135.48,206451800,107.44,1.7042857142857113,0.006758840899716061,-0.4934212695502515,-0.44251357777825234,4543
3130,2012-06-21,135.64,135.78,132.33,132.44,205272200,105.03,1.932857142857139,0.011471896884789229,-0.40314629373527144,0.1894659798938617,4544
3131,2012-06-22,133.13,133.71,132.62,133.46,130029200,105.84,1.8657142857142819,0.011500298084879356,-0.42966456788092194,0.1932743322510505,4545
3132,2012-06-25,132.05,132.1,130.85,131.32,146375700,104.14,1.9499999999999968,0.012393773277324795,-0.39637567054914763,0.3130815356241947,4548
3133,2012-06-26,131.7,132.38,130.93,131.98,141634000,104.67,1.991428571428567,0.012394365279528877,-0.38001333118268293,0.31316091793840045,4549
3134,2012-06-27,132.42,133.43,131.97,133.17,108088000,105.61,1.9928571428571413,0.013064675688505658,-0.3794491125838382,0.4030436770462543,4550
3135,2012-06-28,132.29,132.99,131.28,132.79,169242100,105.31,1.9942857142857113,0.012141950298330748,-0.37888489398499514,0.27931427816313964,4551
